rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,class
0.015591191,0.34221616,1067.6961166261108,599.7124519424837,1633.084418629306,0.0999131491388309,-510.4913,108.81341,8.32027,-9.102622,-4.9396544,-27.96053,-32.713627,-19.60215,-20.784815,-17.900015,-5.155602,-6.3966203,-10.099052,-3.332918,-4.529881,-8.876289,-1.142251,-0.025111245,-9.583597,-5.416918,1.0
0.022402056,0.336841,1025.5081963473308,616.5578207648375,1690.9133384967672,0.0940881487966954,-491.33612,130.19942,-4.005852,-31.155941,-15.375739,-24.347656,-21.827904,-11.946073,-20.50564,-17.819242,-2.8067002,-8.315216,-15.135046,-4.1468554,-2.4617996,-9.232287,-2.9491935,0.5017378,-5.8200536,-2.4666998,0.0
0.016984833,0.43397695,1314.0670892987896,728.335186936944,2100.7150750411183,0.125072813870614,-558.3821,115.05642,-17.68889,-18.350554,13.011882,-3.8750951,-7.7941666,-1.1760255,-18.942192,-18.525286,2.8999565,-3.6247356,-16.002758,-4.5274005,-2.2522004,-10.870523,-2.9006498,1.3631817,-8.710099,-5.736153,1.0
0.00316644,0.45532075,1038.8162326407307,740.0075976856859,1874.9922082779256,0.097651055518617,-655.3766,107.19391,9.685115,-11.793614,6.3236337,-2.294087,-13.926492,-3.705928,-0.84762055,-10.228871,-6.348044,1.0678185,-6.108946,-8.723918,2.5796614,3.8863516,-7.0307174,-7.220088,0.51135236,-0.6400315,0.0
0.010314819,0.39332145,841.9748602779392,610.032482389758,1466.489232512953,0.0735457820595855,-555.82117,129.52925,26.358099,-7.1860876,-2.8985178,-14.585422,-19.93751,-6.611065,-7.784548,-20.08853,-13.839599,-1.178406,-4.876869,-10.765572,-6.7591558,-4.9138036,-6.8907337,-4.3645983,-2.5691788,-5.462553,0.0
0.022348018,0.31308183,1184.769314688036,718.184583693656,1980.363254372133,0.1090681443520642,-498.70706,85.99828,-10.147041,-10.05432,6.1930346,-22.352928,-30.750412,-8.5471735,-8.280056,-17.065104,-8.748964,-6.376488,-11.505369,-4.69379,-0.886887,-7.694853,-4.9976454,1.3906258,-4.0070314,-6.21168,0.0
0.011722931,0.31671643,1158.4626080243847,589.5192524488017,1739.2863528829223,0.1070493599618544,-531.1195,94.25607,-2.0485473,-8.305028,3.8662,-19.989006,-24.626314,-6.1958017,-8.361353,-15.599323,-8.507147,-7.0043235,-9.75952,-4.55961,-3.4877372,-6.938536,-3.8498058,-2.472567,-4.8122387,-1.1003754,1.0
0.021281611,0.43820366,1055.8591417639043,690.0818868670551,1788.2058536305146,0.0950568704044117,-541.68335,85.4346,9.186822,-4.640324,3.231972,-11.292791,-19.401995,-10.6542635,-7.546424,-8.693555,-7.4325547,-8.853765,-6.4893727,0.3334021,-2.1836436,-7.7726707,-3.5577638,-1.1942914,-5.852281,-3.9001477,1.0
0.007471862,0.34027445,966.5532791899304,544.4575620993753,1480.907196359536,0.0909360905283505,-600.87787,112.47342,12.167,-19.500885,-6.897044,-9.89636,-24.621185,-23.376192,-11.831134,-6.6960745,-10.825163,-13.049665,-6.0768642,0.222237,-3.0552456,-5.527986,-1.7652858,-2.9884417,-7.7069235,-4.019813,0.0
0.0042745867,0.36429065,1066.7341470041376,678.9740838308697,1772.003173828125,0.1011681189903846,-613.91144,136.13203,10.82167,-4.5823,5.617196,-20.524712,-20.300816,-2.8952518,-17.415176,-23.773212,-1.4251689,0.94966143,-12.704258,-6.1959295,1.2630316,-5.858562,-6.907134,-4.3322806,-7.6769395,-4.051442,0.0
